sourceId,ja,zh-CN,en,sourceGroup,canonicalId,idStatus
,お爺ちゃん,高龄男,,キャラクター,,unresolved
,女子大生,女大学生,,キャラクター,,unresolved
,女教師,女教师,,キャラクター,,unresolved
,格闘家,格斗家,,キャラクター,,unresolved
,フリーター,飞特族,,キャラクター,,unresolved
,ギャル,辣妹,,キャラクター,,unresolved
,キャバ嬢,礼仪小姐,,キャラクター,,unresolved
,アイドル,偶像,,キャラクター,,unresolved
,インストラクター,讲师,,キャラクター,,unresolved
,女将、女主人,老板娘、女主人,,キャラクター,,unresolved
,そっくりさん,明星脸,,キャラクター,,unresolved
,人妻,已婚妇女,,キャラクター,,unresolved
,お嬢様,大小姐,,キャラクター,,unresolved
,モデル,模特儿,,キャラクター,,unresolved
,お母さん,母亲,,キャラクター,,unresolved
,義母,后母,,キャラクター,,unresolved
,看護婦,护士,,キャラクター,,unresolved
,お姉さん,姐姐,,キャラクター,,unresolved
,アジア女優,亚洲女演员,,キャラクター,,unresolved
,その他学生,其他学生,,キャラクター,,unresolved
,お姫様,公主,,キャラクター,,unresolved
,風俗嬢,妓女,,キャラクター,,unresolved
,レースクィーン,赛车女郎,,キャラクター,,unresolved
,女子校生,高中女生,,キャラクター,,unresolved
,秘書,秘书,,キャラクター,,unresolved
,妹,妹妹,,キャラクター,,unresolved
,痴女,荡妇,,キャラクター,,unresolved
,家庭教師,家教,,キャラクター,,unresolved
,職業色々,各种职业,,キャラクター,,unresolved
,ウェイトレス,服务生,,キャラクター,,unresolved
,白人女優,白人,,キャラクター,,unresolved
,未亡人,寡妇,,キャラクター,,unresolved
,女医,女医生,,キャラクター,,unresolved
,女捜査官,女检察官,,キャラクター,,unresolved
,コギャル,年轻女孩,,キャラクター,,unresolved
,アニメキャラクター,动画人物,,コスチューム,,unresolved
,ブレザー,制服外套,,コスチューム,,unresolved
,ブルマ,运动短裤,,コスチューム,,unresolved
,ボディコン,身体意识,,コスチューム,,unresolved
,バニーガール,兔女郎,,コスチューム,,unresolved
,ネコミミ,猫耳女,,コスチューム,,unresolved
,チャイナドレス,旗袍,,コスチューム,,unresolved
,コスプレ,角色扮演,,コスチューム,,unresolved
,コスプレ衣装,COSPLAY服饰,,コスチューム,,unresolved
,女装・男の娘,女装人妖,,コスチューム,,unresolved
,ドール,娃娃,,コスチューム,,unresolved
,着エロ,猥亵穿着,,コスチューム,,unresolved
,くノ一,女忍者,,コスチューム,,unresolved
,女戦士,女战士,,コスチューム,,unresolved
,めがね,眼镜,,コスチューム,,unresolved
,ハットタイプ,帽型,,コスチューム,,unresolved
,和服、喪服,和服、丧服,,コスチューム,,unresolved
,ニーソックス,及膝袜,,コスチューム,,unresolved
,レオタード,紧身衣,,コスチューム,,unresolved
,ランジェリー,内衣,,コスチューム,,unresolved
,ゴスロリ,歌德萝莉,,コスチューム,,unresolved
,ロングブーツ,长靴,,コスチューム,,unresolved
,ルーズソックス,泡泡袜,,コスチューム,,unresolved
,メイド,女佣,,コスチューム,,unresolved
,ミニスカ,迷你裙,,コスチューム,,unresolved
,ミニスカポリス,迷你裙警察,,コスチューム,,unresolved
,ミニスカート,超短裙,,コスチューム,,unresolved
,裸エプロン,裸体围裙,,コスチューム,,unresolved
,シスター,修女,,コスチューム,,unresolved
,OL,OL,,コスチューム,,unresolved
,パンスト,连裤袜,,コスチューム,,unresolved
,巫女,女祭司,,コスチューム,,unresolved
,セーラー服,水手服,,コスチューム,,unresolved
,スクール水着,学校泳装,,コスチューム,,unresolved
,学生服,校服,,コスチューム,,unresolved
,スチュワーデス,空中小姐,,コスチューム,,unresolved
,水着,泳装,,コスチューム,,unresolved
,パンチラ,内衣,,コスチューム,,unresolved
,制服,制服,,コスチューム,,unresolved
,浴衣,浴衣,,コスチューム,,unresolved
,ぽっちゃり,胖女人,,ボディタイプ,,unresolved
,巨乳,巨乳,,ボディタイプ,,unresolved
,美乳,乳房,,ボディタイプ,,unresolved
,尻フェチ,屁股,,ボディタイプ,,unresolved
,巨尻,巨大屁股,,ボディタイプ,,unresolved
,デカチン・巨根,巨大阴茎,,ボディタイプ,,unresolved
,ロリ系,萝莉塔,,ボディタイプ,,unresolved
,熟女,成熟的女人,,ボディタイプ,,unresolved
,ミニ系,瘦小身型,,ボディタイプ,,unresolved
,筋肉,肌肉,,ボディタイプ,,unresolved
,妊婦,孕妇,,ボディタイプ,,unresolved
,パイパン,无毛,,ボディタイプ,,unresolved
,スレンダー,苗条,,ボディタイプ,,unresolved
,日焼け,晒黑,,ボディタイプ,,unresolved
,長身,高,,ボディタイプ,,unresolved
,微乳,平胸,,ボディタイプ,,unresolved
,ニューハーフ,变性者,,ボディタイプ,,unresolved
,超乳,超乳,,ボディタイプ,,unresolved
,シックスナイン,69,,セックス行為,,unresolved
,3P、4P,多P,,セックス行為,,unresolved
,アナル,肛交,,セックス行為,,unresolved
,フェラ,口交,,セックス行為,,unresolved
,母乳,母乳,,セックス行為,,unresolved
,ぶっかけ,颜射,,セックス行為,,unresolved
,食糞,食粪,,セックス行為,,unresolved
,騎乗位,女上位,,セックス行為,,unresolved
,中出し,中出,,セックス行為,,unresolved
,ごっくん,吞精,,セックス行為,,unresolved
,クンニ,舔阴,,セックス行為,,unresolved
,イラマチオ,深喉,,セックス行為,,unresolved
,脱糞,排便,,セックス行為,,unresolved
,淫語,淫语,,セックス行為,,unresolved
,顔面騎乗,颜面骑乘,,セックス行為,,unresolved
,顔射,颜射,,セックス行為,,unresolved
,指マン,手指插入,,セックス行為,,unresolved
,フィスト,拳交,,セックス行為,,unresolved
,足コキ,足交,,セックス行為,,unresolved
,手コキ,打手枪,,セックス行為,,unresolved
,キス・接吻,接吻,,セックス行為,,unresolved
,マッサージ,按摩,,セックス行為,,unresolved
,オナニー,自慰,,セックス行為,,unresolved
,飲尿,饮尿,,セックス行為,,unresolved
,乱交,滥交,,セックス行為,,unresolved
,シャワー,淋浴,,セックス行為,,unresolved
,潮吹き,潮吹,,セックス行為,,unresolved
,パイズリ,乳交,,セックス行為,,unresolved
,放尿,放尿,,セックス行為,,unresolved
,凌辱,凌辱,,セックスプレイ,,unresolved
,ボンテージ,紧缚,,セックスプレイ,,unresolved
,カーセックス,汽车性爱,,セックスプレイ,,unresolved
,蝋燭,蜡烛,,セックスプレイ,,unresolved
,ポルチオ,子宫颈,,セックスプレイ,,unresolved
,監禁,监禁,,セックスプレイ,,unresolved
,ドラッグ,药物,,セックスプレイ,,unresolved
,ローター,跳蛋,,セックスプレイ,,unresolved
,電マ,女优按摩棒,,セックスプレイ,,unresolved
,浣腸,灌肠,,セックスプレイ,,unresolved
,露出,露出,,セックスプレイ,,unresolved
,異物挿入,插入异物,,セックスプレイ,,unresolved
,輪姦,轮奸,,セックスプレイ,,unresolved
,羞恥,羞耻,,セックスプレイ,,unresolved
,催眠,催眠,,セックスプレイ,,unresolved
,即ハメ,即兴性交,,セックスプレイ,,unresolved
,ローション,乳液,,セックスプレイ,,unresolved
,野外,户外,,セックスプレイ,,unresolved
,強姦,强奸,,セックスプレイ,,unresolved
,拘束,拘束,,セックスプレイ,,unresolved
,スカトロ,粪便,,セックスプレイ,,unresolved
,SM,SM,,セックスプレイ,,unresolved
,縛り,绳缚,,セックスプレイ,,unresolved
,クスコ,鸭嘴,,セックスプレイ,,unresolved
,くすぐり,搔痒,,セックスプレイ,,unresolved
,おもちゃ,玩具,,セックスプレイ,,unresolved
,拷問,拷问,,セックスプレイ,,unresolved
,調教,调教,,セックスプレイ,,unresolved
,脱衣,脱衣,,セックスプレイ,,unresolved
,尿道カテーテル,导尿,,セックスプレイ,,unresolved
,バイブ,按摩棒,,セックスプレイ,,unresolved
,3D,3D,,ジャンル,,unresolved
,4時間以上作品,4小时以上作品,,ジャンル,,unresolved
,アクション,行动,,ジャンル,,unresolved
,アダルトアニメ,成人动漫,,ジャンル,,unresolved
,成人向け映画,成人电影,,ジャンル,,unresolved
,アドベンチャー,冒险,,ジャンル,,unresolved
,素人,业余,,ジャンル,,unresolved
,ベスト、総集編,精选、综合,,ジャンル,,unresolved
,クロマキー,去背影片,,ジャンル,,unresolved
,クラシック,经典,,ジャンル,,unresolved
,局部アップ,局部特写,,ジャンル,,unresolved
,コメディー,喜剧,,ジャンル,,unresolved
,カルチャー,文化,,ジャンル,,unresolved
,デビュー作品,首次亮相,,ジャンル,,unresolved
,デジモ,数位马赛克,,ジャンル,,unresolved
,ドキュメント,纪录片,,ジャンル,,unresolved
,ドラマ,戏剧,,ジャンル,,unresolved
,アクション格闘,战斗行动,,ジャンル,,unresolved
,女性向け,给女性观众,,ジャンル,,unresolved
,美少女ムービー,美少女电影,,ジャンル,,unresolved
,グラビア,写真偶像,,ジャンル,,unresolved
,時代劇,历史剧,,ジャンル,,unresolved
,趣味、教養,爱好、文化,,ジャンル,,unresolved
,ホラー,恐怖,,ジャンル,,unresolved
,How To,教学,,ジャンル,,unresolved
,イメージビデオ,介绍影片,,ジャンル,,unresolved
,インディーズ,独立制作,,ジャンル,,unresolved
,インタビュー,访问,,ジャンル,,unresolved
,恋愛,恋爱,,ジャンル,,unresolved
,ラブロマンス,爱情浪漫,,ジャンル,,unresolved
,ラブストーリー,爱情故事,,ジャンル,,unresolved
,男性,男性,,ジャンル,,unresolved
,複数話,故事集,,ジャンル,,unresolved
,オムニバス,综合短篇,,ジャンル,,unresolved
,原作コラボ,原作改编,,ジャンル,,unresolved
,海外輸入,国外进口,,ジャンル,,unresolved
,海外,海外,,ジャンル,,unresolved
,パロディ,滑稽模仿,,ジャンル,,unresolved
,ハメ撮り,第一人称摄影,,ジャンル,,unresolved
,サイコ、スリラー,心理、惊悚片,,ジャンル,,unresolved
,R-15,R-15,,ジャンル,,unresolved
,R-18,R-18,,ジャンル,,unresolved
,復刻版,重印版,,ジャンル,,unresolved
,ギリモザ,薄马赛克,,ジャンル,,unresolved
,官能作品,感官作品,,ジャンル,,unresolved
,SF,科幻,,ジャンル,,unresolved
,シミュレーション,模拟,,ジャンル,,unresolved
,単体作品,单体作品,,ジャンル,,unresolved
,特撮,特效,,ジャンル,,unresolved
,主観,主观视角,,ジャンル,,unresolved
,サスペンス,悬疑,,ジャンル,,unresolved
,タッチタイピング,触摸打字,,ジャンル,,unresolved
,洋ピン,西洋片,,ジャンル,,unresolved
,投稿,投稿,,ジャンル,,unresolved
,VR,VR,,ジャンル,,unresolved
,Blu-ray（ブルーレイ）,蓝光,,メディア,,unresolved
,HD DVD,HD DVD,,メディア,,unresolved
,microSD,MicroSD,,メディア,,unresolved
,UMD,UMD,,メディア,,unresolved
,VHS,VHS,,メディア,,unresolved
,ハイビジョン,高清,,メディア,,unresolved
