sourceId,ja,zh-CN,en,sourceGroup,canonicalId,idStatus
,ボンテージ,皮革束缚装,,wardrobe,,unresolved
,水着,泳装,,wardrobe,,unresolved
,ミニスカ,迷你裙,,wardrobe,,unresolved
,ミニスカポリス,迷你裙女警,,wardrobe,,unresolved
,めがね,眼镜,,wardrobe,,unresolved
,ランジェリー,内衣,,wardrobe,,unresolved
,ルーズソックス,泡泡袜,,wardrobe,,unresolved
,レオタード,紧身衣,,wardrobe,,unresolved
,和服・浴衣,和服・浴衣,,wardrobe,,unresolved
,アクション・格闘,动作・格斗,,wardrobe,,unresolved
,脚フェチ,恋脚癖,,theme,,unresolved
,アニメ,动漫,,theme,,unresolved
,イメージビデオ,写真视频,,theme,,unresolved
,イメージビデオ（男性）,写真视频（男性）,,theme,,unresolved
,淫乱・ハード系,淫乱・硬核系,,theme,,unresolved
,SF,科幻,,theme,,unresolved
,学園もの,学园题材,,theme,,unresolved
,企画,企划,,theme,,unresolved
,ギャグ・コメディ,搞笑・喜剧,,theme,,unresolved
,局部アップ,局部特写,,theme,,unresolved
,巨乳フェチ,恋巨乳癖,,theme,,unresolved
,クラシック,经典,,theme,,unresolved
,ゲイ,男同性恋,,theme,,unresolved
,原作コラボ,原作合作,,theme,,unresolved
,コラボ作品,合作作品,,theme,,unresolved
,サイコ・スリラー,心理惊悚,,theme,,unresolved
,残虐表現,残虐表现,,theme,,unresolved
,女性向け,女性向,,theme,,unresolved
,女優ベスト・総集編,女演员精选・总集篇,,theme,,unresolved
,尻フェチ,恋臀癖,,theme,,unresolved
,スポーツ,运动,,theme,,unresolved
,セクシー,性感,,theme,,unresolved
,その他フェチ,其他癖好,,theme,,unresolved
,ダーク系,黑暗系,,theme,,unresolved
,体験告白,体验告白,,theme,,unresolved
,ダンス,舞蹈,,theme,,unresolved
,単体作品,单体作品,,theme,,unresolved
,着エロ,穿着色情,,theme,,unresolved
,デビュー作品,出道作品,,theme,,unresolved
,ドキュメンタリー,纪录片,,theme,,unresolved
,特撮,特摄,,theme,,unresolved
,ドラマ,电视剧,,theme,,unresolved
,ナンパ,搭讪,,theme,,unresolved
,How To,教学,,theme,,unresolved
,パンチラ,走光,,theme,,unresolved
,ファンタジー,幻想,,theme,,unresolved
,Vシネマ,V影院,,theme,,unresolved
,復刻,复刻,,theme,,unresolved
,ベスト・総集編,最佳・总集篇,,theme,,unresolved
,BL（ボーイズラブ）,BL（男孩之爱）,,theme,,unresolved
,ホラー,恐怖,,theme,,unresolved
,妄想,妄想,,theme,,unresolved
,洋ピン・海外輸入,洋片・海外引进,,theme,,unresolved
,レズビアン,女同性恋,,theme,,unresolved
,恋愛,恋爱,,theme,,unresolved
,足コキ,足交,,theme,,unresolved
,汗だく,大汗淋漓,,act-practice,,unresolved
,アナル,肛门,,act-practice,,unresolved
,アナルセックス,肛交,,act-practice,,unresolved
,異物挿入,异物插入,,act-practice,,unresolved
,イラマチオ,深喉,,act-practice,,unresolved
,淫語,淫语,,act-practice,,unresolved
,飲尿,饮尿,,act-practice,,unresolved
,男の潮吹き,男性潮吹,,act-practice,,unresolved
,オナニー,自慰,,act-practice,,unresolved
,おもちゃ,玩具,,act-practice,,unresolved
,監禁,监禁,,act-practice,,unresolved
,顔射,颜射,,act-practice,,unresolved
,浣腸,灌肠,,act-practice,,unresolved
,顔面騎乗,颜面骑乘,,act-practice,,unresolved
,騎乗位,骑乘位,,act-practice,,unresolved
,キス・接吻,亲吻,,act-practice,,unresolved
,くすぐり,挠痒,,act-practice,,unresolved
,クスコ,窥器,,act-practice,,unresolved
,クンニ,舔阴,,act-practice,,unresolved
,ゲロ,呕吐物,,act-practice,,unresolved
,拷問,拷问,,act-practice,,unresolved
,ごっくん,吞精,,act-practice,,unresolved
,潮吹き,潮吹,,act-practice,,unresolved
,シックスナイン,69式,,act-practice,,unresolved
,縛り・緊縛,捆绑・紧缚,,act-practice,,unresolved
,羞恥,羞耻,,act-practice,,unresolved
,食糞,食粪,,act-practice,,unresolved
,スカトロ,粪尿癖,,act-practice,,unresolved
,スパンキング,打屁股,,act-practice,,unresolved
,即ハメ,即插,,act-practice,,unresolved
,脱糞,排便,,act-practice,,unresolved
,ディルド,假阴茎,,act-practice,,unresolved
,手コキ,手交,,act-practice,,unresolved
,電マ,电动按摩棒,,act-practice,,unresolved
,ドラッグ,药物,,act-practice,,unresolved
,中出し,内射,,act-practice,,unresolved
,パイズリ,乳交,,act-practice,,unresolved
,バイブ,振动棒,,act-practice,,unresolved
,辱め,侮辱,,act-practice,,unresolved
,バック,后入式,,act-practice,,unresolved
,罵倒,辱骂,,act-practice,,unresolved
,鼻フック,鼻钩,,act-practice,,unresolved
,ハメ撮り,性爱自拍,,act-practice,,unresolved
,孕ませ,使其怀孕,,act-practice,,unresolved
,フィスト,拳交,,act-practice,,unresolved
,フェラ,口交,,act-practice,,unresolved
,ぶっかけ,颜射淋浴,,act-practice,,unresolved
,放尿・お漏らし,放尿・漏尿,,act-practice,,unresolved
,ポルチオ,子宫颈,,act-practice,,unresolved
,指マン,指交,,act-practice,,unresolved
,ラブコメ,爱情喜剧,,act-practice,,unresolved
,レズキス,女同接吻,,act-practice,,unresolved
,蝋燭,蜡烛,,act-practice,,unresolved
,ローション・オイル,润滑液・精油,,act-practice,,unresolved
,ローター,振动球,,act-practice,,unresolved
,インディーズ,独立制作,,act-practice,,unresolved
,ギリモザ,极限马赛克,,platform-filter,,unresolved
,ゲーム実写版,游戏真人版,,platform-filter,,unresolved
,16時間以上作品,16小时以上作品,,platform-filter,,unresolved
,スマホ推奨縦動画,,,platform-filter,,unresolved
,セット商品,,,platform-filter,,unresolved
,その他,,,platform-filter,,unresolved
,デジモ,,,platform-filter,,unresolved
,独占配信,,,platform-filter,,unresolved
,ハイクオリティVR,高品质VR,,platform-filter,,unresolved
,ハイビジョン,高清,,platform-filter,,unresolved
,FANZA配信限定,,,platform-filter,,unresolved
,VR専用,VR专用,,platform-filter,,unresolved
,複数話,多集,,platform-filter,,unresolved
,4時間以上作品,4小时以上作品,,platform-filter,,unresolved
,すべてのセール,,,platform-filter,,unresolved
,日替わりセール,,,platform-filter,,unresolved
,みんなのお気に入り30％OFF第1弾,,,platform-filter,,unresolved
,FANZA7周年50％OFF第9弾,,,platform-filter,,unresolved
,SODグループ30％OFF第2弾,,,platform-filter,,unresolved
,セレブの友他30％OFF,,,platform-filter,,unresolved
,ルナティックス30％OFF,,,platform-filter,,unresolved
,ブランドストア30％OFF！,,,platform-filter,,unresolved
,ポイント還元,,,platform-filter,,unresolved
,期間限定セール,,,platform-filter,,unresolved
